,EPIC,CAMPAIGN_x,Prot,err_Prot,PMETHOD,PFLAG,Rper(%),err_Rper,SPH(ppm),Sflat(ppm),N_Flares,Nflare/day,CAMPAIGN_y,KP(mag),Abs_Mk,e_Abs_Mk,Radius(Rsun),e_Radius(Rsun),Mass(Msun),e_Mass(Sun),Teff(K),e_Teff(K),log(Luminosity(Lsun)),err_log(Luminosity(Lsun)),dist(pc),e_dist(pc),SpT
187,235070897,C11,25.485,0.948,SINE,?,0.378,0.109,1139.61,171.89,0,---,C11,"11,06","4,55","0,06","0,7","0,02",0.71,"0,02",3949,88,"-0,9","0,03",53,"1,6",K7.0
307,228750455,C10,6.721,0.154,LS,Y,0.339,0.047,2028.18,88.5,2,0.029,C10,"11,93","4,54","0,09","0,7","0,03",0.71,"0,02",4026,92,"-0,9","0,04","79,2","3,5",K7.0
374,215004972,C7,0.233,0.006,LS,Y,0.072,0.045,554.61,182.32,1,0.012,C7,"11,32","4,57","0,05","0,69","0,02",0.71,"0,02",3984,85,"-0,92","0,03","54,6","1,5",K7.0
35,247657761,C13,79.602,---,LS,?,0.204,0.04,747.48,49.98,0,---,C13,"11,35","4,64","0,04","0,68","0,02",0.7,"0,01",3939,84,"-0,95","0,02",59,"1,3",M0.0
105,201568682,C1,38.935,1.464,LS,?,1.076,0.064,3892.25,94.52,0,---,C1,"11,63","4,61","0,06","0,69","0,02",0.7,"0,02",4012,86,"-0,93","0,03","64,1","1,9",K7.0
162,211364964,C5,28.798,1.264,LS,Y,0.462,0.092,1632.01,96.74,1,0.014,C18,"12,01","4,62","0,07","0,68","0,02",0.7,"0,02",3956,86,"-0,94","0,03","79,7","2,9",M0.0
163,211364964,C18,26.97,0.472,ACF,?,1.136,0.057,3696.16,103.02,1,0.02,C18,"12,01","4,62","0,07","0,68","0,02",0.7,"0,02",3956,86,"-0,94","0,03","79,7","2,9",M0.0
168,229432919,C11,27.759,0.383,SINE,Y,1.852,0.682,3181.53,79.26,0,---,C11,"11,05","4,58","0,06","0,69","0,02",0.7,"0,02",3940,92,"-0,92","0,03","52,5","1,6",K7.0
268,246069579,C12,14.588,0.03,ACF,?,0.4,0.129,1201.79,54.22,2,0.025,C12,"11,19","4,61","0,06","0,69","0,02",0.7,"0,02",3964,83,"-0,93","0,03","54,7","1,5",K7.0
279,201416151,C10,12.443,0.145,ACF,Y,3.855,0.178,11877.33,116.27,7,0.101,C10,"10,62","4,62","0,07","0,68","0,02",0.7,"0,02",3938,97,"-0,94","0,03","40,4","1,4",M0.0
282,211385897,C5,11.752,0.428,LS,Y,0.492,0.127,6621.2,173.66,13,0.176,C18,"11,67","4,6","0,05","0,69","0,02",0.7,"0,02",3958,82,"-0,93","0,02","67,9","1,8",K7.0
283,211385897,C18,10.992,0.259,ACF,Y,1.053,0.166,3041.7,166.66,13,0.264,C18,"11,67","4,6","0,05","0,69","0,02",0.7,"0,02",3958,82,"-0,93","0,02","67,9","1,8",K7.0
