angDist,_RAJ2000,_DEJ2000,KIC,Kpmag,Q,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,E_Sph,Fl1,DMK,Fl2,Fl3,Fl4,Fl5,M17,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,Date,FNum,Per,r_Per,Amp,Ha,HaLum,FLum,PCat,Simbad,_RA,_DE
0.000000,289.24158,46.3597111,9643210,15.61, 2-17,3274,42,32,5.044,0.044,0.044,0.202,0.042,0.026,29.38,2.1,4148.6,107.0,,,0,0,,0,M17,Simbad,289.24158,46.35971,289.24158,46.3597111,9643210,858.95,311,29.766,Mc2014,6131,no data,,3.452E-5,2,Simbad,289.24158,46.35971
0.000000,285.54395,38.4589119,3323808,13.359, 1-17,3706,116,142,4.713,0.082,0.027,0.549,0.044,0.082,30.21,2.36,1673.2,41.3,,,0,0,,0,M17,Simbad,285.54395,38.45891,285.54395,38.4589119,3323808,1415.23,195,31.165,Mc2014,2098,no data,,2.013E-6,2,Simbad,285.54395,38.45891
0.000000,289.53217,38.4224889,3335194,15.754, 1-17,3958,106,106,4.72,0.039,0.032,0.552,0.04,0.044,12.61,0.85,6168.0,237.5,,,0,0,,0,M17,Simbad,289.53217,38.42249,289.53217,38.4224889,3335194,1415.23,150,12.81,Mc2014,13346,no data,,1.323E-5,2,Simbad,289.53217,38.42249
0.000000,295.70132,46.3754811,9659036,15.295, 1-17,3885,117,105,4.71,0.039,0.025,0.545,0.037,0.034,4.91,0.34,9237.0,550.3,,-1.078,1,0,,0,M17,Simbad,295.70132,46.37548,295.70132,46.3754811,9659036,892.11,192,4.957,Mc2014,15490,no data,,2.882E-5,2,Simbad,295.70132,46.37548
0.000000,282.06821,46.4210819,9692206,14.841, 1-17,3667,58,58,4.82,0.042,0.032,0.447,0.032,0.035,14.59,1.0,8381.5,288.2,,,0,0,,0,M17,Simbad,282.06821,46.42108,282.06821,46.4210819,9692206,1063.4,131,14.847,Mc2014,13656,no data,,3.185E-6,2,Simbad,282.06821,46.42108
0.000000,291.01233,38.5826611,3442034,14.16, 1-17,3877,122,150,4.67,0.068,0.023,0.593,0.041,0.067,40.42,3.19,3493.2,73.4,,,0,0,,0,M17,Simbad,291.01233,38.58266,291.01233,38.5826611,3442034,1415.23,27,40.417,Mc2014,6062,no data,,1.181E-7,2,Simbad,291.01233,38.58266
0.000000,291.7532,38.56916,3444822,15.551, 1-17,3474,52,52,4.878,0.038,0.031,0.377,0.038,0.042,33.99,3.14,3260.5,79.6,,,0,0,,0,M17,Simbad,291.7532,38.56916,291.7532,38.56916,3444822,1415.23,27,34.012,Mc2014,6801,no data,,5.005E-7,2,Simbad,291.7532,38.56916
0.000000,293.03137,38.51852,3449953,13.404, 0-17,3841,120,147,4.669,0.064,0.02,0.597,0.04,0.064,40.7,3.19,4149.2,85.3,,,0,0,,0,M17,Simbad,293.03137,38.51852,293.03137,38.51852,3449953,1415.23,39,40.955,Mc2014,6206,absorption,,1.922E-7,2,Simbad,293.03137,38.51852
0.000000,294.20596,38.5298611,3454793,15.495, 1-17,3439,46,46,4.901,0.038,0.031,0.351,0.041,0.041,1.96,,8492.4,411.9,1,,,,,1,M17,Simbad,294.20596,38.52986,294.20596,38.5298611,3454793,1134.84,356,1.96,Mc2014,19037,no data,,5.11E-5,2,Simbad,294.20596,38.52986
0.000000,285.07251,38.6793289,3525783,15.832, 1-17,3964,107,107,4.675,0.039,0.021,0.581,0.042,0.038,7.98,0.55,8427.7,402.2,,,0,0,,0,M17,Simbad,285.07251,38.67933,285.07251,38.6793289,3525783,1415.23,175,8.099,Mc2014,16542,no data,,1.626E-5,2,Simbad,285.07251,38.67933
