EPIC,CAMPAIGN,Prot,err_Prot,PMETHOD,PFLAG,Rper(%),err_Rper,SPH(ppm),Sflat(ppm),N_Flares,Nflare/day
246333864,C12,86.218,---,SINE,?,2.535,5.487,9744.63,245.26,9,0.114
201661761,C14,84.097,---,SINE,?,0.534,0.916,1916.39,155.35,0,---
247657761,C13,79.602,---,LS,?,0.204,0.04,747.48,49.98,0,---
201718613,C1,78.96,0.75,SINE,?,1.083,0.078,3485.26,111.38,7,0.087
250072828,C15,78.41,0.562,LS,?,0.828,0.075,2618.98,103.18,0,---
233488533,C11,78.236,---,SINE,?,7.097,2.642,8103.4,261.18,3,0.041
212518629,C17,77.541,---,SINE,?,1.71,0.248,5522.34,133.69,1,0.015
228857363,C10,77.3,---,SINE,?,0.586,0.133,2646.82,72.93,3,0.043
220604532,C8,77.048,3.059,LS,?,1.54,0.359,5528.33,164.84,1,0.013
206019392,C3,75.44,---,SINE,?,3.054,0.112,11877.92,43.49,15,0.225
251282832,C16,74.879,1.029,SINE,?,0.71,0.292,2491.22,122.99,2,0.026
211480655,C5,73.861,---,LS,?,1.534,0.101,5647.95,114.93,0,---
201323410,C1,73.86,1.59,SINE,?,0.956,0.14,3192.96,104.11,2,0.025
212734783,C17,73.819,---,SINE,?,0.826,0.085,2630.61,67.52,0,---
202059222,C0,72.16,---,SINE,?,1.272,0.28,4496.08,148.43,0,---
211945363,C5,71.743,1.61,LS,?,1.125,0.057,3942.24,81.37,4,0.054
216892056,C7,69.949,2.915,LS,?,1.87,0.089,6097.17,99.31,2,0.025
250111823,C15,69.674,0.342,LS,?,1.073,0.116,3605.33,69.56,0,---
206479389,C3,66.71,---,SINE,?,0.957,0.068,3107.37,104.33,3,0.045
212681564,C17,66.364,---,SINE,?,0.815,0.267,2975.46,83.06,5,0.076
249101965,C15,66.301,1.081,ACF,?,0.952,0.378,2959.16,154.12,1,0.012
228808502,C10,65.465,6.213,LS,?,0.68,0.103,2644.91,81.03,3,0.043
205507325,C2,63.87,7.757,ACF,?,1.522,0.284,5079.5,120.08,1,0.013
247734588,C13,63.45,0.295,LS,?,0.466,0.197,1545.8,112.09,3,0.038
248030935,C13,61.275,0.655,ACF,?,0.097,0.36,311.86,119.75,1,0.013
212681564,C6,61.224,0.459,LS,?,0.864,0.28,2875.91,149.31,2,0.025
228711280,C10,60.7,6.07,LS,?,0.657,0.054,2579.52,135.21,0,---
248826058,C14,59.453,0.225,LS,?,1.161,0.54,3762.75,118.5,0,---
203740889,C2,59.156,2.044,LS,?,0.825,0.139,3307.29,144.12,0,---
248775337,C14,58.353,5.835,ACF,?,1.163,0.477,3726.03,98.28,0,---
211864396,C16,57.925,0.678,SINE,?,1.579,0.046,4972.43,70.36,3,0.039
220215093,C8,57.55,0.254,LS,?,0.69,0.301,2118.81,120.04,8,0.104
248870284,C14,57.005,2.204,ACF,?,1.382,0.494,4305.31,107.04,4,0.051
248637069,C14,56.004,1.402,ACF,?,1.303,0.157,4138.97,43.23,15,0.192
201223580,C10,54.132,6.238,LS,?,0.759,0.323,4859.63,69.76,3,0.043
251583820,C17,52.926,0.256,LS,?,0.6,0.128,2009.39,137.12,0,---
212093841,C16,51.976,2.13,LS,?,0.449,0.289,1344.17,77.74,0,---
234698848,C11,51.059,0.445,ACF,?,0.382,0.104,1111.96,46.7,1,0.014
228901441,C10,49.82,1.247,LS,?,0.354,0.06,4160.6,51.66,3,0.043
212647740,C6,48.238,4.371,LS,?,0.41,0.378,1604.96,98.38,1,0.013
206490189,C3,48.014,1.767,ACF,?,1.211,0.051,4142.23,81.41,2,0.03
226240066,C11,47.953,0.844,ACF,?,1.528,0.576,2622.69,118.29,2,0.028
212405060,C6,47.325,0.403,LS,?,0.989,0.049,5225.51,89.82,2,0.025
211642294,C18,47.301,1.083,LS,?,1.469,0.214,4890.63,55.14,11,0.224
251550724,C17,46.965,0.134,LS,?,1.178,0.048,3677.56,40.36,7,0.107
212405060,C17,46.961,1.196,ACF,?,2.317,0.101,6961.73,164.21,1,0.015
203869467,C2,46.944,2.191,LS,?,0.95,0.216,3418.82,190.63,0,---
247909274,C13,46.823,1.85,LS,?,1.348,0.23,4349.17,114.88,6,0.075
247983269,C13,46.823,0.905,LS,?,0.938,0.191,2864.1,116.55,2,0.025
236469315,C11,46.543,1.068,ACF,?,0.579,0.068,1671.58,51.82,0,---
205182959,C2,46.08,0.34,LS,?,1.445,0.308,2282.09,119.89,0,---
201530621,C10,46.053,1.242,ACF,?,0.278,0.117,1351.65,132.88,1,0.014
211945363,C18,44.763,2.472,LS,?,0.84,0.068,2880.12,95.2,4,0.081
247080522,C13,44.333,4.433,LS,?,1.626,0.167,5239.93,103.66,2,0.025
210460280,C4,43.744,0.012,ACF,?,0.993,0.046,4259.06,48.23,3,0.044
201659529,C10,43.725,1.153,LS,?,0.562,0.507,5995.18,114.75,5,0.072
214787262,C7,43.307,0.352,LS,?,1.395,0.081,4673.74,103.35,5,0.061
204610472,C2,42.559,0.488,ACF,?,0.659,0.108,2183.22,145.87,1,0.013
246461560,C12,42.542,0.742,LS,?,1.286,0.064,4046.02,71,1,0.013
202059195,C0,42.46,---,SINE,?,1.707,0.805,6447.7,161.18,0,---
201497866,C1,42.226,1.219,LS,?,0.311,0.164,1365.28,86.52,0,---
251584738,C17,41.648,1.08,ACF,?,0.891,0.082,2607.61,50.08,1,0.015
248504645,C14,41.64,0.173,LS,?,0.654,0.2,1987.3,55.74,0,---
