EPIC,CAMPAIGN,Prot,err_Prot,PMETHOD,PFLAG,Rper(%),err_Rper,SPH(ppm),Sflat(ppm),N_Flares,Nflare/day
202571062,C2,3.988,0.017,LS,Y,5.277,3.784,17420.2,615.8,6,0.077
249677429,C15,3.927,0.029,LS,Y,5.25,1.04,15507.49,855.78,15,0.173
249680584,C15,3.897,0.015,LS,Y,1.641,0.361,4787.26,521.88,7,0.081
246182783,C19,3.774,0.317,LS,?,0.043,0.011,130.69,125.4,1,0.139
206349327,C3,3.719,0.008,ACF,Y,14.043,0.542,49235.58,2473.55,4,0.06
248468115,C14,3.528,0.001,LS,Y,1.447,0.292,4382.01,330.16,9,0.115
215632123,C7,2.85,0.021,LS,Y,1.228,0.208,5701.87,765.33,12,0.148
204957517,C2,2.823,0.001,LS,Y,1.968,0.412,6937.9,1150.43,10,0.129
211944676,C18,2.773,0.002,SINE,Y,3.986,3.394,9943.83,1687.1,6,0.122
211944856,C18,2.773,0.002,SINE,Y,3.878,3.842,9683.71,1837.1,6,0.122
211944670,C18,2.773,0.015,SINE,Y,3.986,3.815,9964.5,1708.36,6,0.122
246806983,C13,2.605,0.053,LS,Y,3.301,0.74,11675.15,919.54,6,0.075
210434976,C4,2.552,0.002,LS,Y,15.069,6.113,18013.08,3460.55,13,0.19
246774176,C13,2.541,0.005,LS,Y,1.671,10.21,4897.84,1193.52,16,0.201
247592661,C13,2.498,0.103,LS,Y,6.717,6.602,22203.97,2012.33,7,0.088
210651981,C13,2.449,0,LS,Y,6.59,0.974,21472.75,3258.46,4,0.05
210651981,C4,2.442,0.019,LS,Y,3.596,0.62,12098.26,1948.84,2,0.029
220265960,C8,2.315,0.004,LS,Y,0.402,0.639,5341.84,548.95,5,0.065
201909533,C1,2.294,0.003,LS,Y,4.077,0.24,8275.11,1274.78,16,0.2
246625561,C13,2.215,0.041,LS,?,9.668,3.023,29923.52,3480.72,5,0.063
246364217,C12,1.908,0.109,LS,Y,1.525,1.187,4500.88,932.2,14,0.178
246364217,C19,1.823,0.063,LS,Y,1.211,0.199,3115.41,855.09,2,0.277
210613397,C4,1.745,0.065,LS,Y,2.049,0.426,10218.28,774.24,3,0.044
201506654,C10,1.583,0.013,LS,Y,1.952,0.155,8645.71,1417.57,5,0.072
204927969,C2,1.553,0,ACF,Y,1.297,0.112,5770.52,1119.94,7,0.09
247122957,C13,1.546,0.008,LS,Y,8.959,2.013,21079.3,2549.57,6,0.075
210721261,C13,1.54,0.014,LS,Y,20.061,3.74,64257.52,6736.44,1,0.013
247282522,C13,1.46,0.041,LS,?,2.593,0.949,9392.35,250.91,5,0.063
205467732,C2,1.321,0.01,LS,Y,0.853,0.215,5478.68,801.89,10,0.129
201501470,C14,1.304,0.045,LS,Y,9.672,3.21,31145.24,2052.62,7,0.09
212422696,C6,1.294,0.012,LS,Y,3.966,0.355,12540.38,2493.95,6,0.076
201820874,C14,1.107,0,LS,Y,6.993,1.883,18021.67,3030.69,2,0.026
212611828,C6,1.096,0,LS,Y,2.414,0.388,5698.53,1533.65,19,0.242
212611828,C17,1.094,0.041,LS,Y,4.666,1.161,15054.56,1756.26,8,0.122
212556566,C6,1.02,0.01,LS,Y,1.411,0.063,9599.9,1512.24,14,0.178
212556566,C17,1.02,0.022,LS,Y,4.565,1.359,13444.99,1752.93,8,0.122
218790299,C7,0.902,0.117,LS,Y,0.171,0.036,1440.42,149.75,4,0.049
210840804,C13,0.849,0,SINE,?,2.978,3.87,8276.73,776.85,18,0.226
213817346,C7,0.812,0.004,LS,Y,1.108,0.381,8567.76,918.01,15,0.184
201842163,C1,0.766,0.002,LS,Y,2.404,0.169,10246.35,1450.11,9,0.112
220308656,C8,0.718,0.027,LS,Y,3.144,0.226,18768.14,2054.82,7,0.091
206208968,C3,0.71,0.009,LS,Y,0.93,0.184,7936.11,1591.88,6,0.09
201917390,C1,0.708,0.001,LS,Y,2.122,0.137,7179.35,1306.98,15,0.187
248473036,C14,0.708,0,LS,Y,2.977,0.379,8774.53,1790.97,4,0.051
248601792,C14,0.692,0,LS,Y,4.015,0.698,12003.81,3744.08,14,0.18
202059188,C0,0.691,0,LS,Y,2.525,0.202,10520.91,2504.63,4,0.121
246132735,C19,0.687,0.026,LS,Y,0.131,0.015,369.75,65.5,0,---
201806997,C1,0.656,0,LS,Y,13.95,1.208,56945.06,10596.36,2,0.025
220581451,C8,0.491,0.001,LS,Y,2.347,0.401,17912.05,1848.91,3,0.039
248856749,C14,0.452,0.001,LS,Y,8.61,3.744,26470.2,7042.41,0,---
251718998,C19,0.415,0.003,LS,Y,1.619,0.118,4881.1,58.17,0,---
247309641,C13,0.342,0.002,LS,Y,6.824,1.131,20540.71,8702.2,1,0.013
228864582,C10,0.316,0,LS,Y,1.432,0.037,4672.16,2158.84,7,0.101
211467243,C16,0.263,0.001,LS,Y,1.583,0.708,4576.92,1936.12,1,0.013
215004972,C7,0.233,0.006,LS,Y,0.072,0.045,554.61,182.32,1,0.012
202059183,C0,,---,---,N,---,---,607.99,135.14,0,---
202059190,C0,,---,---,N,---,---,1012.63,93.06,0,---
202059197,C0,,---,---,N,---,---,1070.55,80.9,0,---
202059199,C0,,---,---,N,---,---,2507.98,94.74,4,0.121
202059203,C0,,---,---,N,---,---,635.64,117.52,0,---
202059208,C0,,---,---,N,---,---,1534.31,95.53,0,---
202059215,C0,,---,---,N,---,---,2021.97,161.14,3,0.091
202059221,C0,,---,---,N,---,---,739.35,119.31,0,---
202059223,C0,,---,---,N,---,---,294.01,138.82,0,---
202059224,C0,,---,---,N,---,---,1008.82,83.02,0,---
202059243,C0,,---,---,N,---,---,1239.99,99.09,1,0.03
201498184,C1,,---,---,N,---,---,4011.39,78.52,0,---
203083752,C2,,---,---,N,---,---,4142.49,236.63,1,0.013
203881088,C2,,---,---,N,---,---,3161.35,161.31,0,---
204976998,C2,,---,---,N,---,---,1384.89,213.69,0,---
204994054,C2,,---,---,N,---,---,2025.03,160.42,0,---
205196227,C2,,---,---,N,---,---,1298.91,61.72,1,0.013
205339436,C2,,---,---,N,---,---,12089.79,303.32,0,---
205631193,C2,,---,---,N,---,---,1244.69,224.99,0,---
206054454,C3,,---,---,N,---,---,4532.94,87.62,0,---
206055065,C3,,---,---,N,---,---,2273.81,35.27,2,0.03
206056832,C3,,---,---,N,---,---,3200.12,35.27,2,0.03
206107346,C3,,---,---,N,---,---,1230.19,48.36,0,---
206288689,C3,,---,---,N,---,---,1199.2,71.28,3,0.045
210340480,C4,,---,---,N,---,---,5896.14,77.02,1,0.015
210360545,C4,,---,---,N,---,---,11199.87,161.14,0,---
210434769,C4,,---,---,N,---,---,1571.81,41.49,0,---
210466658,C4,,---,---,N,---,---,909.31,121.34,0,---
210486424,C4,,---,---,N,---,---,10536.41,97.24,7,0.102
210489654,C4,,---,---,N,---,---,7309.01,392.06,2,0.029
210497694,C4,,---,---,N,---,---,3470.71,91.33,0,---
210500368,C4,,---,---,N,---,---,1573.54,74.68,0,---
210585703,C4,,---,---,N,---,---,3294.59,63.96,0,---
210592074,C4,,---,---,N,---,---,3996.39,58.36,1,0.015
211008819,C4,,---,---,N,---,---,1294.33,146.04,0,---
211029843,C4,,---,---,N,---,---,1799.42,102.58,0,---
211480655,C18,,---,---,N,---,---,6394.19,121.24,0,---
211481688,C16,,---,---,N,---,---,1627.28,93.11,0,---
211481688,C18,,---,---,N,---,---,6672.99,98.56,0,---
211498244,C5,,---,---,N,---,---,5898.68,79.99,1,0.014
211498244,C18,,---,---,N,---,---,1510.72,95.68,0,---
211599658,C5,,---,---,N,---,---,1508.03,64.81,1,0.014
211642294,C5,,---,---,N,---,---,7175.45,40.53,10,0.135
211788733,C5,,---,---,N,---,---,898,40.53,10,0.135
211788733,C18,,---,---,N,---,---,619.65,78.9,0,---
211845940,C5,,---,---,N,---,---,3645.25,61.19,0,---
211845940,C18,,---,---,N,---,---,2671.98,64.27,0,---
211944676,C5,,---,---,N,---,---,25485.4,66.86,0,---
211944856,C5,,---,---,N,---,---,20295.41,1456.75,4,0.054
211992989,C5,,---,---,N,---,---,603.37,81.37,4,0.054
211992989,C18,,---,---,N,---,---,751.32,95.2,4,0.081
212280999,C6,,---,---,N,---,---,4510.43,96.68,4,0.051
212285603,C6,,---,---,N,---,---,5063.23,49.46,3,0.038
212323908,C6,,---,---,N,---,---,3929.03,147.75,0,---
212329328,C6,,---,---,N,---,---,1036,58.7,0,---
212438743,C6,,---,---,N,---,---,847.65,46.65,0,---
212438743,C17,,---,---,N,---,---,2510.85,81.47,0,---
212518629,C6,,---,---,N,---,---,4721.76,105.94,2,0.025
212663915,C6,,---,---,N,---,---,2871.13,68.85,3,0.038
212663959,C6,,---,---,N,---,---,2259.58,73.28,1,0.013
212663959,C17,,---,---,N,---,---,4835.44,83.73,0,---
212710520,C6,,---,---,N,---,---,2326.24,72.76,4,0.051
212710520,C17,,---,---,N,---,---,3388.15,56.71,1,0.015
214089305,C7,,---,---,N,---,---,2904.93,137.99,1,0.012
215818496,C7,,---,---,N,---,---,2105.45,76.56,6,0.074
215969058,C7,,---,---,N,---,---,3102.33,53.17,3,0.037
216273315,C7,,---,---,N,---,---,1451.09,63.45,1,0.012
218121888,C7,,---,---,N,---,---,7500.18,219.23,4,0.049
219448194,C7,,---,---,N,---,---,6781.18,123.93,0,---
220266256,C8,,---,---,N,---,---,1343.11,63.69,0,---
220287795,C8,,---,---,N,---,---,3420.77,81.46,1,0.013
220412416,C8,,---,---,N,---,---,4223.08,64.25,1,0.013
220475592,C8,,---,---,N,---,---,3970.2,66.96,4,0.052
220623047,C8,,---,---,N,---,---,1454.54,67.64,2,0.026
220676900,C8,,---,---,N,---,---,2038.35,70.02,1,0.013
228757142,C10,,---,---,N,---,---,1351.29,60.04,0,---
228858734,C10,,---,---,N,---,---,3731.9,69.3,2,0.029
228972691,C10,,---,---,N,---,---,4609.87,78.18,2,0.029
228982481,C10,,---,---,N,---,---,212.54,78.18,2,0.279
228992431,C10,,---,---,N,---,---,599.82,78.18,2,0.279
225420708,C11,,---,---,N,---,---,482.91,252.24,0,---
230751558,C11,,---,---,N,1.26,0.531,1117.42,89.35,1,0.014
231179480,C11,,---,---,N,0.377,0.109,1223.8,72.6,1,0.014
232017621,C11,,---,---,N,---,---,30878.44,2998.32,6,0.083
236305079,C11,,---,---,N,---,---,384.01,148.16,0,---
240451481,C11,,---,---,N,---,---,577.67,197.23,0,---
246179278,C19,,---,---,N,---,---,3204.11,125.4,1,0.139
246191912,C12,,---,---,N,---,---,6686.79,97.75,0,---
246191912,C19,,---,---,N,---,---,593.36,88.52,1,0.139
246238886,C19,,---,---,N,---,---,121.37,29.54,2,0.277
246333864,C19,,---,---,N,---,---,385.13,296.06,0,---
246374497,C19,,---,---,N,---,---,1393.15,855.09,2,0.277
210895913,C13,,---,---,N,---,---,1813.38,93.88,0,---
246812637,C13,,---,---,N,---,---,3533.78,147.89,0,---
246849411,C13,,---,---,N,---,---,705.07,215.23,0,---
247130198,C13,,---,---,N,---,---,72991.96,34587.19,0,---
247191714,C13,,---,---,N,---,---,5188.62,110.15,1,0.013
248698478,C14,,---,---,N,---,---,1857.63,59.08,2,0.026
249186244,C15,,---,---,N,---,---,3747.36,147.21,0,---
249328859,C15,,---,---,N,---,---,36870.7,1664.57,0,---
249681555,C15,,---,---,N,---,---,3210.92,48.26,1,0.012
211832386,C16,,---,---,N,---,---,5756.17,94.75,2,0.026
211857745,C16,,---,---,N,---,---,3696.66,40.75,2,0.026
212840848,C17,,---,---,N,---,---,1133.34,27.94,2,0.031
251567386,C17,,---,---,N,---,---,3657.93,132.35,0,---
246093819,C19,,---,---,N,---,---,315.56,65.5,0,---
246141580,C19,,---,---,N,---,---,828.37,237,3,0.416
246378594,C19,,---,---,N,---,---,668.61,93.17,1,0.139
246424810,C19,,---,---,N,---,---,126.31,76.2,0,---
246446811,C19,,---,---,N,---,---,8145.32,265.33,1,0.139
